Human_Symbol,Ensembl_Symbol,Ensembl_ID,Cycle
DSCC1,dscc1,ENSSSAG00000088925,S.gene
DSCC1,dscc1.1,ENSSSAG00000104335,S.gene
DSCC1,DSCC1,ENSSSAG00000098087,S.gene
BLM,blm,ENSSSAG00000078058,S.gene
CASP8AP2,casp8ap2,ENSSSAG00000045001,S.gene
CASP8AP2,casp8ap2.1,ENSSSAG00000101584,S.gene
USP1,usp1,ENSSSAG00000044868,S.gene
CLSPN,CLSPN,ENSSSAG00000054174,S.gene
CLSPN,CLSPN.1,ENSSSAG00000078544,S.gene
POLA1,pola1,ENSSSAG00000078390,S.gene
CHAF1B,chaf1b,ENSSSAG00000042565,S.gene
BRIP1,brip1,ENSSSAG00000051666,S.gene
E2F8,e2f8,ENSSSAG00000065538,S.gene
E2F8,e2f8.1,ENSSSAG00000073983,S.gene
HMGB2,hmgb2a,ENSSSAG00000054548,G2M.gene
HMGB2,hmgb2a.1,ENSSSAG00000109524,G2M.gene
CDK1,cdk1,ENSSSAG00000006872,G2M.gene
NUSAP1,nusap1,ENSSSAG00000000078,G2M.gene
NUSAP1,nusap1.1,ENSSSAG00000063363,G2M.gene
BIRC5,birc5a,ENSSSAG00000001277,G2M.gene
BIRC5,birc5b,ENSSSAG00000068971,G2M.gene
BIRC5,birc5b.1,ENSSSAG00000095509,G2M.gene
TPX2,gene:ENSSSAG00000075691,NSSSAG00000075691,G2M.gene
TOP2A,gene:ENSSSAG00000066721,ENSSSAG00000066721,G2M.gene
NDC80,ndc80,ENSSSAG00000075612,G2M.gene
CKS2,cks2,ENSSSAG00000063439,G2M.gene
CKS2,CKS2,ENSSSAG00000053543 ,G2M.gene
NUF2,nuf2,ENSSSAG00000091386,G2M.gene
TMPO,tmpoa,ENSSSAG00000097715,G2M.gene
TMPO,lap2,ENSSSAG00000070216 ,G2M.gene
TMPO,tmpob,ENSSSAG00000079549,G2M.gene
TMPO,tmpob.1,ENSSSAG00000071470,G2M.gene
CENPF,gene:ENSSSAG00000002402,ENSSSAG00000002402,G2M.gene
TACC3,gene:ENSSSAG00000043775,ENSSSAG00000043775,G2M.gene
SMC4,smc4,ENSSSAG00000074267,G2M.gene
CCNB2,ccnb2,ENSSSAG00000072975,G2M.gene
CCNB2,ccnb2.1,ENSSSAG00000080343,G2M.gene
CKAP2L,ckap2l,ENSSSAG00000045445,G2M.gene
KIF11,kif11,ENSSSAG00000006907,G2M.gene
KIF11,kif11.1,ENSSSAG00000071263,G2M.gene
ANP32E,ANP32E,ENSSSAG00000068348,G2M.gene
ANP32E,ANP32E.1,ENSSSAG00000041648,G2M.gene
TUBB4B,tubb4b,ENSSSAG00000101622,G2M.gene
KIF20B,kif20bb,ENSSSAG00000079056,G2M.gene
KIF20B,kif20bb.1,ENSSSAG00000068302,G2M.gene
KIF20B,kif20ba,ENSSSAG00000078645,G2M.gene
KIF20B,kif20ba.1,ENSSSAG00000054281,G2M.gene
CDCA3,si:ch211-69g19.2,ENSSSAG00000040417,G2M.gene
CDC20,cdc20,ENSSSAG00000075816,G2M.gene
CDC20,cdc20.1,ENSSSAG00000075603,G2M.gene
TTK,ttk,ENSSSAG00000049671,G2M.gene
TTK,ttk.1,ENSSSAG00000009759,G2M.gene
CDC25C,CDC25C,ENSSSAG00000006736,G2M.gene
KIF2C,kif2c,ENSSSAG00000053000,G2M.gene
KIF2C,kif2c.1,ENSSSAG00000080527,G2M.gene
RANGAP1,RANGAP1,ENSSSAG00000002274,G2M.gene
RANGAP1,RANGAP1.1,ENSSSAG00000067438,G2M.gene
RANGAP1,rangap1b,ENSSSAG00000002137,G2M.gene
DLGAP5,dlgap5,ENSSSAG00000000679,G2M.gene
DLGAP5,dlgap5.1,ENSSSAG00000057319,G2M.gene
CDCA8,cdca8.1,ENSSSAG00000040950,G2M.gene
CDCA8,cdca8.1,ENSSSAG00000078302,G2M.gene
ECT2,ect2,ENSSSAG00000070771,G2M.gene
ECT2,ect2.1,ENSSSAG00000068867,G2M.gene
KIF23,KIF23,ENSSSAG00000120697,G2M.gene
KIF23,KIF23.1,ENSSSAG00000095510,G2M.gene
HMMR,hmmr,ENSSSAG00000041733,G2M.gene
AURKA,gene:ENSSSAG00000031237,ENSSSAG00000031237,G2M.gene
ANLN,ANLN,ENSSSAG00000073106,G2M.gene
ANLN,ANLN.1,ENSSSAG00000086325,G2M.gene
LBR,lbr,ENSSSAG00000044615,G2M.gene
LBR,lbr.1,ENSSSAG00000076862,G2M.gene
CKAP5,ckap5,ENSSSAG00000008344,G2M.gene
CTCF,ctcf,ENSSSAG00000064848,G2M.gene
CTCF,ctcf.1,ENSSSAG00000067932,G2M.gene
NEK2,nek2,ENSSSAG00000106767,G2M.gene
NEK2,nek2.1,ENSSSAG00000056109,G2M.gene
G2E3,G2E3,ENSSSAG00000064280,G2M.gene
G2E3,g2e3,ENSSSAG00000071501 ,G2M.gene
CBX5,cbx5,ENSSSAG00000096644,G2M.gene
CBX5,cbx5.1,ENSSSAG00000110153,G2M.gene
CENPA,gene:ENSSSAG00000078816,ENSSSAG00000078816,G2M.gene
