"","V1","V2","V3","V4"
"57","gene:ENSOKIG00005001425","gene:ENSOKIG00005001425","Gene","Expression"
"58","gene:ENSOKIG00005001427","gene:ENSOKIG00005001427","Gene","Expression"
"59","gene:ENSOKIG00005001430","dag1","Gene","Expression"
"60","gene:ENSOKIG00005001438","pcbp4","Gene","Expression"
"61","gene:ENSOKIG00005001453","gene:ENSOKIG00005001453","Gene","Expression"
"62","gene:ENSOKIG00005001456","rbm15b","Gene","Expression"
"63","gene:ENSOKIG00005001460","manf","Gene","Expression"
"64","gene:ENSOKIG00005001972","dock3","Gene","Expression"
"65","gene:ENSOKIG00005009361","DCAF1","Gene","Expression"
"66","gene:ENSOKIG00005009522","gene:ENSOKIG00005009522","Gene","Expression"
"67","gene:ENSOKIG00005009537","rpl32","Gene","Expression"
"68","gene:ENSOKIG00005009619","cand2","Gene","Expression"
"69","gene:ENSOKIG00005011074","sec13","Gene","Expression"
"70","gene:ENSOKIG00005011179","gene:ENSOKIG00005011179","Gene","Expression"
"71","gene:ENSOKIG00005011182","gene:ENSOKIG00005011182","Gene","Expression"
"72","gene:ENSOKIG00005011407","grip2b","Gene","Expression"
"73","gene:ENSOKIG00005016787","gene:ENSOKIG00005016787","Gene","Expression"
"74","gene:ENSOKIG00005016829","slc6a6b","Gene","Expression"
"75","gene:ENSOKIG00005017042","gene:ENSOKIG00005017042","Gene","Expression"
"76","gene:ENSOKIG00005017045","gene:ENSOKIG00005017045","Gene","Expression"
"77","gene:ENSOKIG00005017055","gene:ENSOKIG00005017055","Gene","Expression"
"78","gene:ENSOKIG00005017059","gene:ENSOKIG00005017059","Gene","Expression"
"79","gene:ENSOKIG00005017086","gene:ENSOKIG00005017086","Gene","Expression"
"80","gene:ENSOKIG00005017098","gene:ENSOKIG00005017098","Gene","Expression"
"81","gene:ENSOKIG00005017105","gene:ENSOKIG00005017105","Gene","Expression"
"82","gene:ENSOKIG00005017128","MCM2","Gene","Expression"
"83","gene:ENSOKIG00005017534","gene:ENSOKIG00005017534","Gene","Expression"
"84","gene:ENSOKIG00005017558","gpd1b","Gene","Expression"
"85","gene:ENSOKIG00005017638","dnase1l4.2","Gene","Expression"
"86","gene:ENSOKIG00005017656","si:dkey-222f2.1","Gene","Expression"
"87","gene:ENSOKIG00005017692","gene:ENSOKIG00005017692","Gene","Expression"
"88","gene:ENSOKIG00005017726","smarcd1","Gene","Expression"
"89","gene:ENSOKIG00005017949","gene:ENSOKIG00005017949","Gene","Expression"
"90","gene:ENSOKIG00005018120","gene:ENSOKIG00005018120","Gene","Expression"
"91","gene:ENSOKIG00005018122","si:dkey-57c15.1","Gene","Expression"
"92","gene:ENSOKIG00005018130","gene:ENSOKIG00005018130","Gene","Expression"
"93","gene:ENSOKIG00005018138","gene:ENSOKIG00005018138","Gene","Expression"
"94","gene:ENSOKIG00005018672","CELA1","Gene","Expression"
"95","gene:ENSOKIG00005018711","gene:ENSOKIG00005018711","Gene","Expression"
"96","gene:ENSOKIG00005018748","GLS2","Gene","Expression"
"97","gene:ENSOKIG00005019100","gene:ENSOKIG00005019100","Gene","Expression"
"98","gene:ENSOKIG00005019140","ITGA7","Gene","Expression"
"99","gene:ENSOKIG00005019299","npffl","Gene","Expression"
"100","gene:ENSOKIG00005019343","gene:ENSOKIG00005019343","Gene","Expression"
"101","gene:ENSOKIG00005019369","gene:ENSOKIG00005019369","Gene","Expression"
"102","gene:ENSOKIG00005019653","gene:ENSOKIG00005019653","Gene","Expression"
"103","gene:ENSOKIG00005019777","NCKAP1L","Gene","Expression"
"104","gene:ENSOKIG00005022243","COL2A1","Gene","Expression"
"105","gene:ENSOKIG00005022275","gene:ENSOKIG00005022275","Gene","Expression"
"106","gene:ENSOKIG00005022277","gene:ENSOKIG00005022277","Gene","Expression"
"107","gene:ENSOKIG00005022280","MYG1","Gene","Expression"
"108","gene:ENSOKIG00005022290","gene:ENSOKIG00005022290","Gene","Expression"
"109","gene:ENSOKIG00005022297","gene:ENSOKIG00005022297","Gene","Expression"
"110","gene:ENSOKIG00005022303","gene:ENSOKIG00005022303","Gene","Expression"
"111","gene:ENSOKIG00005022361","MAP3K12","Gene","Expression"
"112","gene:ENSOKIG00005023180","gene:ENSOKIG00005023180","Gene","Expression"
"113","gene:ENSOKIG00005023223","PCBP2","Gene","Expression"
"114","gene:ENSOKIG00005023356","gene:ENSOKIG00005023356","Gene","Expression"
"115","gene:ENSOKIG00005023367","gene:ENSOKIG00005023367","Gene","Expression"
"116","gene:ENSOKIG00005023388","AMHR2","Gene","Expression"
"117","gene:ENSOKIG00005023404","gene:ENSOKIG00005023404","Gene","Expression"
"118","gene:ENSOKIG00005023422","SP1","Gene","Expression"
"119","gene:ENSOKIG00005023433","gene:ENSOKIG00005023433","Gene","Expression"
"120","gene:ENSOKIG00005023447","tarbp2","Gene","Expression"
"121","gene:ENSOKIG00005023457","gene:ENSOKIG00005023457","Gene","Expression"
"122","gene:ENSOKIG00005023466","sp7","Gene","Expression"
"123","gene:ENSOKIG00005023472","soat2","Gene","Expression"
"124","gene:ENSOKIG00005023522","gene:ENSOKIG00005023522","Gene","Expression"
"125","gene:ENSOKIG00005023596","KIF5A","Gene","Expression"
"126","gene:ENSOKIG00005024898","gene:ENSOKIG00005024898","Gene","Expression"
"127","gene:ENSOKIG00005024922","dctn2","Gene","Expression"
"128","gene:ENSOKIG00005025033","ddit3","Gene","Expression"
"129","gene:ENSOKIG00005025047","gene:ENSOKIG00005025047","Gene","Expression"
"130","gene:ENSOKIG00005025087","mars1","Gene","Expression"
"131","gene:ENSOKIG00005025693","ARHGAP9","Gene","Expression"
"132","gene:ENSOKIG00005025741","gene:ENSOKIG00005025741","Gene","Expression"
"133","gene:ENSOKIG00005025757","gene:ENSOKIG00005025757","Gene","Expression"
"134","gene:ENSOKIG00005025774","gli1","Gene","Expression"
"135","gene:ENSOKIG00005025861","gene:ENSOKIG00005025861","Gene","Expression"
"136","gene:ENSOKIG00005025940","gene:ENSOKIG00005025940","Gene","Expression"
"137","gene:ENSOKIG00005026523","gene:ENSOKIG00005026523","Gene","Expression"
"138","gene:ENSOKIG00005026530","gene:ENSOKIG00005026530","Gene","Expression"
"139","gene:ENSOKIG00005026535","NXPH4","Gene","Expression"
"140","gene:ENSOKIG00005026554","shmt2","Gene","Expression"
"141","gene:ENSOKIG00005026708","ndufa4l2b","Gene","Expression"
"142","gene:ENSOKIG00005026712","fam210b","Gene","Expression"
"143","gene:ENSOKIG00005026717","ppp1r16b","Gene","Expression"
"144","gene:ENSOKIG00005026729","gene:ENSOKIG00005026729","Gene","Expression"
"145","gene:ENSOKIG00005026743","ARHGAP40","Gene","Expression"
"146","gene:ENSOKIG00005026758","slc32a1","Gene","Expression"
"147","gene:ENSOKIG00005026781","aurka","Gene","Expression"
"148","gene:ENSOKIG00005026798","prelid3b","Gene","Expression"
"149","gene:ENSOKIG00005026862","ddx19","Gene","Expression"
"150","gene:ENSOKIG00005027683","gene:ENSOKIG00005027683","Gene","Expression"
"151","gene:ENSOKIG00005027717","gene:ENSOKIG00005027717","Gene","Expression"
"152","gene:ENSOKIG00005027746","si:dkey-33m11.7","Gene","Expression"
"153","gene:ENSOKIG00005027764","gene:ENSOKIG00005027764","Gene","Expression"
"154","gene:ENSOKIG00005027770","cdab","Gene","Expression"
"155","gene:ENSOKIG00005027854","MAPK14","Gene","Expression"
"156","gene:ENSOKIG00005028190","TMEM167B","Gene","Expression"
"157","gene:ENSOKIG00005028195","B3GALT6","Gene","Expression"
"158","gene:ENSOKIG00005028208","gene:ENSOKIG00005028208","Gene","Expression"
"159","gene:ENSOKIG00005028254","gene:ENSOKIG00005028254","Gene","Expression"
"160","gene:ENSOKIG00005028309","KIF21B","Gene","Expression"
"161","gene:ENSOKIG00005028841","gene:ENSOKIG00005028841","Gene","Expression"
"162","gene:ENSOKIG00005029715","gene:ENSOKIG00005029715","Gene","Expression"
"163","gene:ENSOKIG00005029723","gene:ENSOKIG00005029723","Gene","Expression"
"164","gene:ENSOKIG00005029728","adora1a","Gene","Expression"
"165","gene:ENSOKIG00005029734","gene:ENSOKIG00005029734","Gene","Expression"
"166","gene:ENSOKIG00005029737","gene:ENSOKIG00005029737","Gene","Expression"
"167","gene:ENSOKIG00005029743","gene:ENSOKIG00005029743","Gene","Expression"
"168","gene:ENSOKIG00005029753","gene:ENSOKIG00005029753","Gene","Expression"
"169","gene:ENSOKIG00005029761","gene:ENSOKIG00005029761","Gene","Expression"
"170","gene:ENSOKIG00005029767","gene:ENSOKIG00005029767","Gene","Expression"
"171","gene:ENSOKIG00005029778","gene:ENSOKIG00005029778","Gene","Expression"
"172","gene:ENSOKIG00005029790","CCDC66","Gene","Expression"
"173","gene:ENSOKIG00005029822","TASOR","Gene","Expression"
"174","gene:ENSOKIG00005029910","ARHGEF3","Gene","Expression"
"175","gene:ENSOKIG00005030455","IL17RD","Gene","Expression"
"176","gene:ENSOKIG00005030558","gene:ENSOKIG00005030558","Gene","Expression"
"177","gene:ENSOKIG00005030563","si:dkey-261l7.2","Gene","Expression"
"178","gene:ENSOKIG00005030575","irak1bp1","Gene","Expression"
"179","gene:ENSOKIG00005030714","hesx1","Gene","Expression"
"180","gene:ENSOKIG00005031770","asb14a","Gene","Expression"
"181","gene:ENSOKIG00005031842","rps23","Gene","Expression"
"182","gene:ENSOKIG00005032021","gene:ENSOKIG00005032021","Gene","Expression"
"183","gene:ENSOKIG00005032044","atp6ap1la","Gene","Expression"
"184","gene:ENSOKIG00005032056","gene:ENSOKIG00005032056","Gene","Expression"
"185","gene:ENSOKIG00005032103","gene:ENSOKIG00005032103","Gene","Expression"
"186","gene:ENSOKIG00005000011","ilrun","Gene","Expression"
"187","gene:ENSOKIG00005000031","SPDEF","Gene","Expression"
"188","gene:ENSOKIG00005000074","pacsin1b","Gene","Expression"
"189","gene:ENSOKIG00005000098","rps10","Gene","Expression"
"190","gene:ENSOKIG00005000119","nudt3b","Gene","Expression"
"191","gene:ENSOKIG00005000180","grm4","Gene","Expression"
"192","gene:ENSOKIG00005000236","igfn1.1","Gene","Expression"
"193","gene:ENSOKIG00005000258","igfn1.3","Gene","Expression"
"194","gene:ENSOKIG00005000300","igfn1.4","Gene","Expression"
"195","gene:ENSOKIG00005000356","igfn1.2","Gene","Expression"
"196","gene:ENSOKIG00005000378","zgc:66479","Gene","Expression"
"197","gene:ENSOKIG00005000384","gene:ENSOKIG00005000384","Gene","Expression"
"198","gene:ENSOKIG00005000389","SYT2","Gene","Expression"
"199","gene:ENSOKIG00005000411","mybphb","Gene","Expression"
"200","gene:ENSOKIG00005000458","nav1b","Gene","Expression"
"201","gene:ENSOKIG00005000477","csrp1b","Gene","Expression"
"202","gene:ENSOKIG00005000487","tnni1b","Gene","Expression"
"203","gene:ENSOKIG00005000493","pkp1b","Gene","Expression"
"204","gene:ENSOKIG00005000515","TEAD3","Gene","Expression"
"205","gene:ENSOKIG00005000551","gene:ENSOKIG00005000551","Gene","Expression"
"206","gene:ENSOKIG00005000555","gene:ENSOKIG00005000555","Gene","Expression"
"207","gene:ENSOKIG00005000562","gene:ENSOKIG00005000562","Gene","Expression"
"208","gene:ENSOKIG00005000573","ADORA3","Gene","Expression"
"209","gene:ENSOKIG00005000583","gene:ENSOKIG00005000583","Gene","Expression"
"210","gene:ENSOKIG00005000627","gene:ENSOKIG00005000627","Gene","Expression"
"211","gene:ENSOKIG00005000637","gene:ENSOKIG00005000637","Gene","Expression"
"212","gene:ENSOKIG00005000640","KCNA10","Gene","Expression"
"213","gene:ENSOKIG00005000648","kcna2a","Gene","Expression"
"214","gene:ENSOKIG00005000651","gene:ENSOKIG00005000651","Gene","Expression"
"215","gene:ENSOKIG00005000653","KCNA3","Gene","Expression"
"216","gene:ENSOKIG00005000657","ngfb","Gene","Expression"
"217","gene:ENSOKIG00005000666","tspan2a","Gene","Expression"
"218","gene:ENSOKIG00005000676","slc25a55a","Gene","Expression"
"219","gene:ENSOKIG00005000684","tshba","Gene","Expression"
"220","gene:ENSOKIG00005000695","slc5a8l","Gene","Expression"
"221","gene:ENSOKIG00005000718","slc16a1a","Gene","Expression"
"222","gene:ENSOKIG00005000724","TAFA3","Gene","Expression"
"223","gene:ENSOKIG00005000725","ppm1j","Gene","Expression"
"224","gene:ENSOKIG00005000752","CAPZA1","Gene","Expression"
"225","gene:ENSOKIG00005000841","st7l","Gene","Expression"
"226","gene:ENSOKIG00005000896","wnt2ba","Gene","Expression"
"227","gene:ENSOKIG00005000902","gene:ENSOKIG00005000902","Gene","Expression"
"228","gene:ENSOKIG00005000907","cttnbp2nla","Gene","Expression"
"229","gene:ENSOKIG00005000910","gene:ENSOKIG00005000910","Gene","Expression"
"230","gene:ENSOKIG00005000914","KCND3","Gene","Expression"
"231","gene:ENSOKIG00005000929","INKA2","Gene","Expression"
"232","gene:ENSOKIG00005000937","gene:ENSOKIG00005000937","Gene","Expression"
"233","gene:ENSOKIG00005000944","timm17a","Gene","Expression"
"234","gene:ENSOKIG00005000948","lmod1b","Gene","Expression"
"235","gene:ENSOKIG00005000954","shisa4","Gene","Expression"
"236","gene:ENSOKIG00005000972","ipo9","Gene","Expression"
"237","gene:ENSOKIG00005001025","gnas","Gene","Expression"
"238","gene:ENSOKIG00005001047","gene:ENSOKIG00005001047","Gene","Expression"
"239","gene:ENSOKIG00005001054","gene:ENSOKIG00005001054","Gene","Expression"
"240","gene:ENSOKIG00005001058","gene:ENSOKIG00005001058","Gene","Expression"
"241","gene:ENSOKIG00005001076","rbm5","Gene","Expression"
"242","gene:ENSOKIG00005001139","slc38a3b","Gene","Expression"
"243","gene:ENSOKIG00005001289","gnai2b","Gene","Expression"
"244","gene:ENSOKIG00005001300","inka1b","Gene","Expression"
"245","gene:ENSOKIG00005001344","uba7","Gene","Expression"
"246","gene:ENSOKIG00005001435","gene:ENSOKIG00005001435","Gene","Expression"
"247","gene:ENSOKIG00005001449","mst1ra","Gene","Expression"
"248","gene:ENSOKIG00005001476","camkva","Gene","Expression"
"249","gene:ENSOKIG00005001495","rbm6","Gene","Expression"
"250","gene:ENSOKIG00005001504","U7","Gene","Expression"
"251","gene:ENSOKIG00005001505","gene:ENSOKIG00005001505","Gene","Expression"
"252","gene:ENSOKIG00005001508","gene:ENSOKIG00005001508","Gene","Expression"
"253","gene:ENSOKIG00005001583","sema3fa","Gene","Expression"
"254","gene:ENSOKIG00005002347","gnat1","Gene","Expression"
"255","gene:ENSOKIG00005002361","gene:ENSOKIG00005002361","Gene","Expression"
"256","gene:ENSOKIG00005002371","arl8ba","Gene","Expression"
"257","gene:ENSOKIG00005002387","si:ch73-361p23.3","Gene","Expression"
"258","gene:ENSOKIG00005002400","si:ch73-15b2.5","Gene","Expression"
"259","gene:ENSOKIG00005002426","epha2a","Gene","Expression"
"260","gene:ENSOKIG00005002469","h6pd","Gene","Expression"
"261","gene:ENSOKIG00005002477","rbp7b","Gene","Expression"
"262","gene:ENSOKIG00005002493","gene:ENSOKIG00005002493","Gene","Expression"
"263","gene:ENSOKIG00005002505","tardbp","Gene","Expression"
"264","gene:ENSOKIG00005002532","gnb1b","Gene","Expression"
"265","gene:ENSOKIG00005002537","gene:ENSOKIG00005002537","Gene","Expression"
"266","gene:ENSOKIG00005002545","gene:ENSOKIG00005002545","Gene","Expression"
"267","gene:ENSOKIG00005002555","gene:ENSOKIG00005002555","Gene","Expression"
"268","gene:ENSOKIG00005002584","mst1","Gene","Expression"
"269","gene:ENSOKIG00005002618","abhd14b","Gene","Expression"
"270","gene:ENSOKIG00005002718","cacna2d2a","Gene","Expression"
"271","gene:ENSOKIG00005003450","hyal1","Gene","Expression"
"272","gene:ENSOKIG00005003455","HYAL2","Gene","Expression"
"273","gene:ENSOKIG00005003458","tusc2a","Gene","Expression"
"274","gene:ENSOKIG00005003469","RASSF1","Gene","Expression"
"275","gene:ENSOKIG00005003487","nprl2","Gene","Expression"
"276","gene:ENSOKIG00005003512","hemk1","Gene","Expression"
"277","gene:ENSOKIG00005003534","cish","Gene","Expression"
"278","gene:ENSOKIG00005003544","twf2a","Gene","Expression"
"279","gene:ENSOKIG00005003562","wdr82","Gene","Expression"
"280","gene:ENSOKIG00005000012","glyctk","Gene","Expression"
"281","gene:ENSOKIG00005000030","tcta","Gene","Expression"
"282","gene:ENSOKIG00005000046","mon1bb","Gene","Expression"
"283","gene:ENSOKIG00005000070","brpf3a","Gene","Expression"
"284","gene:ENSOKIG00005000094","si:dkey-183j2.10","Gene","Expression"
"285","gene:ENSOKIG00005000128","skib","Gene","Expression"
"286","gene:ENSOKIG00005000140","tmem51b","Gene","Expression"
"287","gene:ENSOKIG00005000144","gene:ENSOKIG00005000144","Gene","Expression"
"288","gene:ENSOKIG00005000154","kaznb","Gene","Expression"
"289","gene:ENSOKIG00005000167","prdm2b","Gene","Expression"
"290","gene:ENSOKIG00005000223","FOXJ3","Gene","Expression"
"291","gene:ENSOKIG00005000264","gene:ENSOKIG00005000264","Gene","Expression"
"292","gene:ENSOKIG00005000270","EMP3","Gene","Expression"
"293","gene:ENSOKIG00005000276","A3GALT2","Gene","Expression"
"294","gene:ENSOKIG00005000287","znf362a","Gene","Expression"
"295","gene:ENSOKIG00005000304","gene:ENSOKIG00005000304","Gene","Expression"
"296","gene:ENSOKIG00005000312","TRIM62","Gene","Expression"
"297","gene:ENSOKIG00005000340","tnfrsf1b","Gene","Expression"
"298","gene:ENSOKIG00005000691","mmel1","Gene","Expression"
"299","gene:ENSOKIG00005001333","slc45a1","Gene","Expression"
"300","gene:ENSOKIG00005001341","ccdc114","Gene","Expression"
"301","gene:ENSOKIG00005001347","gene:ENSOKIG00005001347","Gene","Expression"
"302","gene:ENSOKIG00005001357","srgap2","Gene","Expression"
"303","gene:ENSOKIG00005001380","ikbke","Gene","Expression"
"304","gene:ENSOKIG00005001398","RASSF5","Gene","Expression"
"305","gene:ENSOKIG00005001407","nme4","Gene","Expression"
"306","gene:ENSOKIG00005001420","MYBL2","Gene","Expression"
"307","gene:ENSOKIG00005001481","rpn2","Gene","Expression"
"308","gene:ENSOKIG00005001557","gene:ENSOKIG00005001557","Gene","Expression"
"309","gene:ENSOKIG00005001565","gene:ENSOKIG00005001565","Gene","Expression"
"310","gene:ENSOKIG00005001578","gene:ENSOKIG00005001578","Gene","Expression"
"311","gene:ENSOKIG00005001586","gene:ENSOKIG00005001586","Gene","Expression"
"312","gene:ENSOKIG00005001615","gene:ENSOKIG00005001615","Gene","Expression"
"313","gene:ENSOKIG00005001800","cntn4","Gene","Expression"
"314","gene:ENSOKIG00005003652","gene:ENSOKIG00005003652","Gene","Expression"
"315","gene:ENSOKIG00005006688","chl1b","Gene","Expression"
"316","gene:ENSOKIG00005010875","cntn3b","Gene","Expression"
"317","gene:ENSOKIG00005010911","pdzrn3b","Gene","Expression"
"318","gene:ENSOKIG00005010978","ppp4r2b","Gene","Expression"
"319","gene:ENSOKIG00005011018","gxylt2","Gene","Expression"
"320","gene:ENSOKIG00005011034","gene:ENSOKIG00005011034","Gene","Expression"
"321","gene:ENSOKIG00005011042","RYBP","Gene","Expression"
"322","gene:ENSOKIG00005011059","gene:ENSOKIG00005011059","Gene","Expression"
"323","gene:ENSOKIG00005011072","gpr27","Gene","Expression"
"324","gene:ENSOKIG00005011081","EIF4E3","Gene","Expression"
"325","gene:ENSOKIG00005011174","foxp1b","Gene","Expression"
"326","gene:ENSOKIG00005012150","MDFIC2","Gene","Expression"
"327","gene:ENSOKIG00005012160","zgc:113054","Gene","Expression"
"328","gene:ENSOKIG00005012208","mitfa","Gene","Expression"
"329","gene:ENSOKIG00005012358","frmd4ba","Gene","Expression"
"330","gene:ENSOKIG00005012491","arl6ip5a","Gene","Expression"
"331","gene:ENSOKIG00005012500","trnt1","Gene","Expression"
"332","gene:ENSOKIG00005012512","si:dkey-178o16.4","Gene","Expression"
"333","gene:ENSOKIG00005012515","lrrn1","Gene","Expression"
"334","gene:ENSOKIG00005012520","setmar","Gene","Expression"
"335","gene:ENSOKIG00005012584","itpr1b","Gene","Expression"
"336","gene:ENSOKIG00005012956","bhlhe40","Gene","Expression"
"337","gene:ENSOKIG00005012969","arl8bb","Gene","Expression"
"338","gene:ENSOKIG00005013005","sema3fb","Gene","Expression"
"339","gene:ENSOKIG00005013204","camkvb","Gene","Expression"
"340","gene:ENSOKIG00005013243","gene:ENSOKIG00005013243","Gene","Expression"
"341","gene:ENSOKIG00005013248","gene:ENSOKIG00005013248","Gene","Expression"
"342","gene:ENSOKIG00005013256","mst1rb","Gene","Expression"
"343","gene:ENSOKIG00005013313","mon1a","Gene","Expression"
"344","gene:ENSOKIG00005013355","gene:ENSOKIG00005013355","Gene","Expression"
"345","gene:ENSOKIG00005013474","grm6b","Gene","Expression"
"346","gene:ENSOKIG00005013536","comtb","Gene","Expression"
"347","gene:ENSOKIG00005013561","SRPK3","Gene","Expression"
"348","gene:ENSOKIG00005013610","ccdc120","Gene","Expression"
"349","gene:ENSOKIG00005013620","mbd1b","Gene","Expression"
"350","gene:ENSOKIG00005013660","cxxc1b","Gene","Expression"
"351","gene:ENSOKIG00005013920","tfe3b","Gene","Expression"
"352","gene:ENSOKIG00005013946","gnl3l","Gene","Expression"
"353","gene:ENSOKIG00005014066","gene:ENSOKIG00005014066","Gene","Expression"
"354","gene:ENSOKIG00005014210","opn1sw2","Gene","Expression"
"355","gene:ENSOKIG00005014220","gene:ENSOKIG00005014220","Gene","Expression"
"356","gene:ENSOKIG00005014244","HCFC1","Gene","Expression"
"357","gene:ENSOKIG00005014483","gata1a","Gene","Expression"
"358","gene:ENSOKIG00005014496","BCL2L1","Gene","Expression"
"359","gene:ENSOKIG00005014512","adnpa","Gene","Expression"
"360","gene:ENSOKIG00005014519","MAFB","Gene","Expression"
"361","gene:ENSOKIG00005014522","fam83d","Gene","Expression"
"362","gene:ENSOKIG00005014529","si:ch211-232b12.5","Gene","Expression"
"363","gene:ENSOKIG00005014623","top1l","Gene","Expression"
"364","gene:ENSOKIG00005016152","cyldb","Gene","Expression"
"365","gene:ENSOKIG00005016175","GGT7","Gene","Expression"
"366","gene:ENSOKIG00005016366","gene:ENSOKIG00005016366","Gene","Expression"
"367","gene:ENSOKIG00005016381","snai1a","Gene","Expression"
"368","gene:ENSOKIG00005016387","gene:ENSOKIG00005016387","Gene","Expression"
"369","gene:ENSOKIG00005016395","trpc4apa","Gene","Expression"
"370","gene:ENSOKIG00005016457","si:ch211-25d12.7","Gene","Expression"
"371","gene:ENSOKIG00005016490","ndrg3a","Gene","Expression"
"372","gene:ENSOKIG00005004131","phf20a","Gene","Expression"
"373","gene:ENSOKIG00005004149","zgc:92107","Gene","Expression"
"374","gene:ENSOKIG00005004206","sulf2a","Gene","Expression"
"375","gene:ENSOKIG00005004490","id1","Gene","Expression"
"376","gene:ENSOKIG00005004526","ncoa3","Gene","Expression"
"377","gene:ENSOKIG00005004939","zmynd8","Gene","Expression"
"378","gene:ENSOKIG00005012459","dido1","Gene","Expression"
"379","gene:ENSOKIG00005012510","gene:ENSOKIG00005012510","Gene","Expression"
"380","gene:ENSOKIG00005012526","KCNK15","Gene","Expression"
"381","gene:ENSOKIG00005012598","CDH4","Gene","Expression"
"382","gene:ENSOKIG00005013008","taf4a","Gene","Expression"
"383","gene:ENSOKIG00005013390","gene:ENSOKIG00005013390","Gene","Expression"
"384","gene:ENSOKIG00005013398","gene:ENSOKIG00005013398","Gene","Expression"
"385","gene:ENSOKIG00005013410","BMP7","Gene","Expression"
"386","gene:ENSOKIG00005013425","RAE1","Gene","Expression"
